period,name,county,subcounty,ward,Teen pregnancy (10 to 19 years),Teen pregnancy (10 to 14 years),Teen pregnancy (15 to 19 years)
2016Q4,Oct to Dec 2016,Tharaka Nithi County,Igambangombe Sub County,Mariani Ward,13,0,13
2016Q4,Oct to Dec 2016,Nakuru County,Molo Sub County,Mariashoni Ward,17,0,17
2016Q4,Oct to Dec 2016,Baringo County,Marigat Sub County,Marigat Ward,203,15,188
2016Q4,Oct to Dec 2016,Tharaka Nithi County,Tharaka South Sub County,Marimanti Ward,71,1,70
2016Q4,Oct to Dec 2016,Nairobi County,Makadara Sub County,Maringo/Hamza Ward,67,13,54
2016Q4,Oct to Dec 2016,Kisumu County,Kisumu Central Sub County,Market Milimani Ward,221,1,220
2016Q4,Oct to Dec 2016,Laikipia County,Laikipia West Sub County,Marmanet Ward,79,0,79
2016Q4,Oct to Dec 2016,Marsabit County,Saku Sub County,Marsabit Central Ward,15,2,13
2016Q4,Oct to Dec 2016,Taita Taveta County,Voi Sub County,Marungu Ward,45,0,45
2016Q4,Oct to Dec 2016,Migori County,Kuria West Sub County,Masaba Ward,206,0,206
2016Q4,Oct to Dec 2016,Garissa County,Ijara Sub County,Masalani Ward,105,48,57
2016Q4,Oct to Dec 2016,Kisii County,Bobasi Sub County,Masige East Ward,18,0,18
2016Q4,Oct to Dec 2016,Kisii County,Bobasi Sub County,Masige West Ward,20,5,15
2016Q4,Oct to Dec 2016,Machakos County,Mwala Sub County,Masii Ward,35,0,35
2016Q4,Oct to Dec 2016,Kisii County,Nyaribari Masaba Sub County,Masimba Ward,102,5,97
2016Q4,Oct to Dec 2016,Machakos County,Masinga Sub County,Masinga Central Ward,53,0,53
2016Q4,Oct to Dec 2016,Kisumu County,Muhoroni Sub County,Masogo/Nyang'oma Ward,95,2,93
2016Q4,Oct to Dec 2016,Makueni County,Kibwezi East Sub County,Masongaleni Ward,68,0,68
2016Q4,Oct to Dec 2016,West Pokot County,Pokot Central Sub County,Masool Ward,20,3,17
2016Q4,Oct to Dec 2016,Taita Taveta County,Taveta Sub County,Mata Ward,34,2,32
2016Q4,Oct to Dec 2016,Kajiado County,Kajiado Central Sub County,Matapato North Ward,138,8,130
2016Q4,Oct to Dec 2016,Kajiado County,Kajiado Central Sub County,Matapato South Ward,134,9,125
2016Q4,Oct to Dec 2016,Busia County,Matayos Sub County,Matayos South Ward,189,3,186
2016Q4,Oct to Dec 2016,Nairobi County,Ruaraka Sub County,Mathare North Ward,294,2,292
2016Q4,Oct to Dec 2016,Kitui County,Kitui West Sub County,Matinyani Ward,24,0,24
2016Q4,Oct to Dec 2016,Trans Nzoia County,Saboti Sub County,Matisi Ward,60,3,57
2016Q4,Oct to Dec 2016,Kilifi County,Kilifi North Sub County,Matsangoni Ward,182,6,176
2016Q4,Oct to Dec 2016,Bungoma County,Webuye West Sub County,Matulo Ward,169,0,169
2016Q4,Oct to Dec 2016,Trans Nzoia County,Endebess Sub County,Matumbei Ward,155,67,88
2016Q4,Oct to Dec 2016,Machakos County,Matungulu Sub County,Matungulu East Ward,25,0,25
2016Q4,Oct to Dec 2016,Machakos County,Matungulu Sub County,Matungulu North Ward,9,0,9
